County,Season,MLG,n
kalamazoo,fall-11,MLG.1,2
kent,fall-11,MLG.1,0
wayne,spring-13,MLG.1,0
kalamazoo,spring-13,MLG.1,0
wayne,fall-12,MLG.1,0
kalamazoo,fall-12,MLG.1,6
kalamazoo,fall-11,MLG.2,1
kent,fall-11,MLG.2,0
wayne,spring-13,MLG.2,0
kalamazoo,spring-13,MLG.2,0
wayne,fall-12,MLG.2,0
kalamazoo,fall-12,MLG.2,0
kalamazoo,fall-11,MLG.3,1
kent,fall-11,MLG.3,0
wayne,spring-13,MLG.3,0
kalamazoo,spring-13,MLG.3,0
wayne,fall-12,MLG.3,0
kalamazoo,fall-12,MLG.3,0
kalamazoo,fall-11,MLG.4,1
kent,fall-11,MLG.4,0
wayne,spring-13,MLG.4,0
kalamazoo,spring-13,MLG.4,0
wayne,fall-12,MLG.4,0
kalamazoo,fall-12,MLG.4,0
kalamazoo,fall-11,MLG.5,1
kent,fall-11,MLG.5,0
wayne,spring-13,MLG.5,0
kalamazoo,spring-13,MLG.5,0
wayne,fall-12,MLG.5,0
kalamazoo,fall-12,MLG.5,0
kalamazoo,fall-11,MLG.6,1
kent,fall-11,MLG.6,0
wayne,spring-13,MLG.6,0
kalamazoo,spring-13,MLG.6,0
wayne,fall-12,MLG.6,0
kalamazoo,fall-12,MLG.6,0
kalamazoo,fall-11,MLG.7,0
kent,fall-11,MLG.7,0
wayne,spring-13,MLG.7,0
kalamazoo,spring-13,MLG.7,0
wayne,fall-12,MLG.7,3
kalamazoo,fall-12,MLG.7,0
kalamazoo,fall-11,MLG.8,0
kent,fall-11,MLG.8,0
wayne,spring-13,MLG.8,0
kalamazoo,spring-13,MLG.8,0
wayne,fall-12,MLG.8,0
kalamazoo,fall-12,MLG.8,4
kalamazoo,fall-11,MLG.9,0
kent,fall-11,MLG.9,0
wayne,spring-13,MLG.9,0
kalamazoo,spring-13,MLG.9,1
wayne,fall-12,MLG.9,0
kalamazoo,fall-12,MLG.9,0
kalamazoo,fall-11,MLG.10,0
kent,fall-11,MLG.10,0
wayne,spring-13,MLG.10,0
kalamazoo,spring-13,MLG.10,0
wayne,fall-12,MLG.10,8
kalamazoo,fall-12,MLG.10,7
kalamazoo,fall-11,MLG.11,0
kent,fall-11,MLG.11,0
wayne,spring-13,MLG.11,0
kalamazoo,spring-13,MLG.11,1
wayne,fall-12,MLG.11,0
kalamazoo,fall-12,MLG.11,0
kalamazoo,fall-11,MLG.12,1
kent,fall-11,MLG.12,0
wayne,spring-13,MLG.12,0
kalamazoo,spring-13,MLG.12,0
wayne,fall-12,MLG.12,0
kalamazoo,fall-12,MLG.12,0
kalamazoo,fall-11,MLG.13,1
kent,fall-11,MLG.13,0
wayne,spring-13,MLG.13,0
kalamazoo,spring-13,MLG.13,0
wayne,fall-12,MLG.13,0
kalamazoo,fall-12,MLG.13,0
kalamazoo,fall-11,MLG.14,1
kent,fall-11,MLG.14,0
wayne,spring-13,MLG.14,1
kalamazoo,spring-13,MLG.14,1
wayne,fall-12,MLG.14,0
kalamazoo,fall-12,MLG.14,0
kalamazoo,fall-11,MLG.15,14
kent,fall-11,MLG.15,0
wayne,spring-13,MLG.15,0
